title,price,rating,reviews,discount,brand,product_url
"iPhone Air 512 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Space Black",113990.0,4.2,95,19.0,Apple,https://www.amazon.in/iPhone-Air-512-GB-Promotion/dp/B0FQG8LLXS/ref=sr_1_12
OnePlus 13s | Snapdragon® 8 Elite | Smarter with OnePlus AI | Lifetime Display Warranty | 12GB+512GB | Green Silk,55999.0,4.5,1754,11.0,OnePlus,https://www.amazon.in/OnePlus-Snapdragon%C2%AE-Battery-Lifetime-Warranty/dp/B0F5WNYJF8/ref=sr_1_15
"Google Pixel 9A (Porcelain, 256 GB) (8 GB RAM)",39490.0,4.3,183,21.0,Brand: Google,https://www.amazon.in/Google-Pixel-9A-Porcelain-256/dp/B0FGY7C13L/ref=sr_1_5
"Hollyland Wireless Magnetic Mini Microphone: Lark A1 Mini Duo Wireless Mic for iPhone15/16/iPad/Android Smartphone with 3-Lv Noise Cancel, 200m Transmission for YouTube Podcast Vlog Content Creation",4099.0,4.1,3674,57.0,Hollyland,https://aax-eu-zaz.amazon.in/x/c/JAxKGWgtEhr7vdHECDSkSXoAAAGcalYFWAoAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICBKBMxW/clv1c_ek-YBIHXFcbWDn2nI5drJ16WdB1VqvDdaINDSgJivxvlMBdN33pDEx0FF9l2yj-UrWQXJWOlZ-4jSw1jdSkoT3UxoAwT_n5GA0hFyykdV0svqJ0bWslD4unl1P2cpvE_woIKNpMMVQjI3kA8SNIXd5n7Kf2fk1nKEsYmjjWtx85reQvdmpb6JDuyl64e18_PMyEMfq99DXO4ZUQ_EQnB6Oy-VNUzOFQsFtlbLtWtd9ccRLQTGGuIPEfH9hDegFuHywpjHqxq8ymcIMPTZ2BWwlJBIH3JYVFpIgC3xSHTotzsldALBvzGsxa91pDgvwn81TKBlbXXvej6zQ5rEhi020vG6bVwESYDx2Mi5m43PMfxqirk2uugU1OZM9LKEx-lzjzi_vZl0mXZbvskt8B_W4own5IHZSCnnERs0-FQA3qKp-9eiXtz2wYHFNz-ZyZJ8FGY9KWhx47TnZY16xxZTv9ff9Zd82wEbgWhCRGz_zaezdbiVK3ZXUZEJ2TWh0xtT9qtFLQpbeYFAEIxhfrrgE6C3iFmXqKFOpbtSEktJfjmpGFec7aGdndOu1u68LwsFV48Y6-TOdt6RtyatyPxQK4O-txLRlDWG-DuorgmL4lai7eb5vHK-JatBhNMr9pUJ4b0CFQK3HFN1IjxZM3-9jLKCEVvD3w8Ch8bm0P--i3HKmb42moS5aWESigWYO2nN1TBIp-KMS1oUq0OHJanOikQc31fQiHKOjX2eEReNHEe2asBVBAkKC07wuoHJ1CzgxuMcFJpPRIJkrIunyuiE7UvQJUrCI75r8hL7IchgVeL955eJighMxj4wK6O_z_k4HEdoC8sXY9_pwIRkoseLG4-0JHi6o4YyGOsM71LWLqUEp1i4BPrE5vdsipt5XXeqrBBL_YW4fgenOtAstBuO7kUwYSa0rSdMNV3JAI_MGkrwvMjoW6XDeumaouLjSkDk0Xh5SeDAkDjv9aPQvyLadklWblV7uH1hgy-eVhVwSPmGq0NAFgS33EnZewi54PUnst2JWJDognSxFBFFiznf-clPr75c46oOosJqGWoPgHFQPHiWdwHg52R7qmkqgb70zamoqitYoHxg73_y8S2nFgW8jAbxJS499EDjMb5KPFWLCXTBrJEr-vwTSHwNNX98GKNt_UOW3zvSZHsRPcSJiH-Z3nRYrWMPa7tgTXqK2XRwRUFWutDCKaR0Ecx2eWCEkGwJn2fvtVcTy32PvN6Gyw-xvQ6FmFVmT-KM2KvhmeQ1qNEowyNf26CP_LX9b6nmB_PVUftA-ixmEbcSGoHNvj4fyc-h3L3u3q-1f8TasRxv6bbAodpl-MOXg8Ca3CXlIbIKTOPfU-hEHnyjBxuPNXM95hC-JigWQJtQbv0CLyHqiEUuXOwcI-F6ahbTFqva2KjZi6e_0Z1fuJCIy-7NWCXwIGquH7HZzucj91hKNObGvm2pGAd-_loxhoWoj_Xu9psd3u06YEkKLR_bHXmMwQUl2U1q3kBSDJxusKr-rxQfMeZ2U_1byHIeJUONUgZAi7zhCK61S-xsxLXh3rn3xOAnu3xOTFvtCLT2V6zdIVXhOzRbEg-8-U4mkmwM3KRXkvb91E0LjMwzaWkq476uyZlWldVURum5jDYxkZWRlYXUHB-WIGJof_VxsrBuY3OPSJXd78F8_la/https://www.amazon.in/Hollyland-Wireless-Magnetic-Mini-Microphone/dp/B0FMQW9LZD/ref=sxbs_sbv_search_btf
"SanDisk 2TB Creator Phone SSD - Up to 1,000 MB/s - Compatible with MagSafe for Your USB-C Smartphone - Shoot in ProRes with iPhone 15 Pro/Pro Max and iPhone 16 Pro/Pro Max, 5 Y Warranty",32600.0,4.4,98,,SanDisk,https://www.amazon.in/SanDisk-2TB-Creator-Phone-SSD/dp/B0FNCPWQHT/ref=sr_1_57
"Hollyland Wireless Magnetic Mini Microphone: Lark A1 Mini Duo Wireless Mic for iPhone15/16/iPad/Android Smartphone with 3-Lv Noise Cancel, 200m Transmission for YouTube Podcast Vlog Content Creation",4099.0,4.1,3674,57.0,Hollyland,https://aax-eu-zaz.amazon.in/x/c/JN7QABz_cm6p0CbPGoPSFVMAAAGcalYsPQoAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAi92DM/clv1c_ek-YBPHXUsbW3nymJtYb8xPAyU13f4sZNuHPGs0L19pZU7dgTss_WuR3kAht-9ZeKc2OiIIUjIYFSh73K3KGIpL4AC1qM6aoaKZJa3gLMZQnSRnIFrbn6_Ygg7j2oHoph7j5JLTaC2sIdykyQClBeFJHuVU8llnyMkTzjnCrw5V3Fcu93UDnWRG-KkxtmrPkYvGf-dodm5bM2Nixnyh2Yusac5SNrs42FS-koRf8shASDjv1Wda8xwNOPOh8lD5pt_luIwypFUGZ3G2umq9-n6-hZ3_tunYX6Cf2lhar2lBLLZ7DANQOj5JSsuEZUMX2BDWExmp98ewUn38XnDQ9sSj-pRS_jq0MqZVuOxuxHL-0q0FE8MoVuFnOQzEYBlpffj-VjPdOhOlH5oeCkXm8nfpx-ZP0WGbCZIj1X-nkYOKQlF_x005fpRlr9t9tCGE2x_-FiXdz9NWZNkkUls9L_eOp5mTdOp8mC7o3sOX0Q5_mWm_kyl2ZrmTGBuoDbxzUiuodmn9B3wUQL-X-N9XGoQLvOVnJN396VY5cmqfMYc4nvjF2efY3W7Oix2VKu97q8Is7RGJgENmyZUl62-YYx__hxdhjxjQWSIpcyQtKMeAZRn_fKcEoDWYdZ4vgpcY0blpeNGBHzGcguZkxkG4bmjt8uMKJC0kDtZXnDxI58BAeq36cb2ZI3Fte8UA_DUz6cf2iZbroRmhBDaZEaPqbnEnkknbCeZKxJ8p2-9VYKVmt_SJmf5XruY7WCiUgLMmg6N0SIZ8Sua7-n22Nt92bg39OnWu1O24q654bbRnywMHCsgPP12WXZUC753FKc0_wszAETEpsVMyVz0g4GPVOx-A1yBaoxE56ScdNVz7VKFgJ53-zjp9IRZ9dWJ1IZ0i_JLeY30XLGNjA3ZYIitRRGmVL4SVQ3o5agZA8sadN4x1RdwHp422AETxbvtYQwZwFSdoQUYnJXzdP4aJ9tFpfWkf-Gh1S2Ovle1zYJ7MW6HWUsGpNbyVGjC3agx0IWt_5uiUt0U82WESEkBUR_8U7ycgl9M0Xuk_lfcFjk8Sc5pMnId5gZ7xw0efHZgSVLl0WD3LupAWeQVBDqa9iIhrwWrHgx6u0e913TNVa0R1Suh7n87mm7bucrwnGg8UyX3Ar6rLSXWK41Jd6F5wolF94Ft7C6ooBUFBm5kJBoMH4-pWWbBbxMiNx4_qOUbfSZpxzA5KlVi64leJQilUa7C6a89HPmkEk0-KcpZqi45ycMiO-pGcscx2SP906zGfzb_h-FitNoBet9_lRdAFj22bOOuHez62KG2gg7eIiRf8lZbQub0KBPE9gMWPucqAOk5kYy52h5CTJMF5KgaVYDPtbqAP1sW85MXAZMphOI_VRX7CcoklNECMo9DdvU_N8fDmTOSK6U4Wop4bXdcNCIyG7NXiUqZxw0XTHZ7VflswzA-zUnOjeydrCWUFYoX_FTAUdnt5Oq6y7Rc_WFEFUF_GC2SOx7U1mzT12SEwbt5UYH3839EVSL3IEIFww6Bxjgs0vK_V7gp8-gM8m0pDrAS0s88jDh42tstByc-wAvbz61xyBJDooEf2pk2d26WSts_K5gIv7ELL3gtxue-lq-8veGnBiT1LhdQO8QEUo5AFURUkntBC_pnRR5SUasyR6qEOqCLWBVa1eQisjZQ/https://www.amazon.in/Hollyland-Wireless-Magnetic-Mini-Microphone/dp/B0FMQW9LZD/ref=sxbs_sbv_search_btf
Apple iPhone 16 Pro Max Clear Case with MagSafe ​​​​​​​,4900.0,4.2,4434,,Apple,https://www.amazon.in/Apple-iPhone-Clear-Case-MagSafe/dp/B0DGHQQK9D/ref=sr_1_55
Spigen Ultra Hybrid MagFit Back Cover Case Compatible with iPhone 17 Pro (TPU + Poly Carbonate | Clear Orange),1799.0,4.0,50655,38.0,Spigen,https://www.amazon.in/Spigen-Hybrid-MagFit-Compatible-Carbonate/dp/B0FSBC5XH3/ref=sr_1_46
"iPhone 16 Pro Max 1 TB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium",174900.0,4.4,474,5.0,Apple,https://www.amazon.in/iPhone-16-Pro-Max-TB/dp/B0DGJD75G2/ref=sr_1_20
"realme NARZO 90 5G (Carbon Black,6GB+128GB) | 7000mAh Biggest Battery | 60W Fastest Charging | 50MP Front & Rear AI Cameras | 4000nits Brightest Display | AI Assist | IP69 Dust & Water Resistance",16999.0,4.2,267,11.0,realme,https://www.amazon.in/realme-Charging-4000nits-Brightest-Resistance/dp/B0G4B8957C/ref=sr_1_14
