title,price,rating,reviews,discount,brand,product_url
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",7499.0,4.2,668,32.0,Samsung,https://www.amazon.in/Samsung-Storage-MediaTek-Charging-Upgrades/dp/B0FN7QTRPY/ref=sr_1_3
"Tecno Spark GO 2, 4GB + 64GB, Segment 1st IP64 SGS Certified, AI with Indian Languages and No Network Communications, 120Hz Display, 5000mAh Battery, Titanium Grey",7499.0,4.2,170,17.0,Tecno,https://www.amazon.in/Segment-Certified-Languages-Communications-Titanium/dp/B0FD7PH275/ref=sr_1_33
"Motorola g35 5G (Midnight Black, 128 GB) (8 GB RAM)",13138.0,3.8,60,15.0,Motorola,https://www.amazon.in/Motorola-g35-Midnight-Black-128/dp/B0FXRKSM84/ref=sr_1_35
"realme P3 Lite 5G (Jade Green, 4GB RAM, 128GB Storage) | 6000mAh Battery | 32MP AI Camera | MediaTek Dimensity 6300 Processor",11530.0,1.0,1,11.0,realme,https://www.amazon.in/realme-P3-Lite-5G-Dimensity/dp/B0GHMTHXG6/ref=sr_1_48
Slide and Learn Multiplication Book for Kids | Interactive Pull Tab Activity | Colorful Times Tables 1 to 10 | Math Practice Book | Fun Learning for Early Education,849.0,4.8,5,58.0,,https://aax-eu-zaz.amazon.in/x/c/JP-6uPn1ygDBUE5YOTTe8fkAAAGcajtkeAoAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICBrzRD0/clv1c_ek-wBPHXEsTWniFPYhsAb2gzhEiX4nKzLZxTDhKgN5RrL8K3BWOc56M_SKUyy_MASS09iwQ1DZS1FdmGaezOnSXyXf9VL9v9W000vAwGfOw6zDlbGl8je3fq7rm0JHSsYDF5QX8WK9L0vlYb5gOF6QBbpMHMVtWCMoRwwjuMHLZ-GAy9HE9j6pTgEqQyZL7ma2uh1lhTD2eL1n_7ohBYVE6yLxcnHEQo9L0iL5EF4bS7RJWX6grzEe6Ynk-pF1-qHCvDvugksRg5M4ADGVrz2xF_ILSzKEkzOMQYcDbvhRpprgbRLvZ9pV2d6sS-hXeVxvl4b5Mzb_AeoGmv99wTjQHS4O4Qa08YItImBjFRNUN-y7rIgRaJVO9tXVu2uxXLHLSyS65ErUjapyDLD69EpyGHQVWgxc59K4e_BuPGw6Vq7OnmMVzm8EEIj034p2xLQmwrJn5Px0B9Hj17oQCNX-T1ZAwXyjRhlwlV1VmFDmQP1l_ayC1phRc5wMp2uicWJzvXLFqqTeYFAE5dkt_6Cdgtt0IJqHqZ4T3O3BBxoJozS15dR3YZE87XPFAWQHAiUj7YX6YKO-fJX69HR0Oq3Vaf8m1xVIeUAZt8hlt2r0AYqvHeN1sZ1rzFk-6P8aZBdCkGWgqH3KJVg0evftAPu9PmccKKUNjypbFAIag9a6sRnvxS56eJjaYjqs9HCgRtFebWTw7DhuEUEocIGXzO6zBoJpg6pTHld88pf29z1Vy0XfKLpeMQwUS7wpTUY9P8_n_SXop69xvxQ6bu0hcPAVw9Yc-6TG4UWbuiGo8FBltnJN5IprZ5GMJlL3VNRGpY_1WkCYKUkvBDOl2eqwOQm1gft3lvzEEs3euOvJ_cr_vEWEtiOSnbas50I0WIn_bIBkKQI8ewiBWR4phtkbg0EfC_cHq4HluWECs8woN0ceekWYFrUsC_9FtV_iy7mZ_gnRwyTB-qn2BVJrzHEmj5pKu3LiQXLpSlVNRSNma3a6HSosSHEhK3KOgqVqPmOpyQuLXw94IeBYX5eOQ2O47lHDqmYquFbQ0354y4Mii54s2g6BYsvUlyLiJpQIORbTE520WwHOeiZm5bJY2MTtBl61t389hXNYEfnEeMaATd630KYkYyBX6SRhjkQIpfXZMY6F3Q1AoCWXr55eLo-PC6n_ldf97P3VK9A49Nvq1wA3ec01NbiH6BsP9vxYHlKuWJmkP_2SRxQa1dIu1PSJruCthtcd9m866Tcifxs6ebddIqHlXaSHdQs6-sizT71XNdKY5YQIqSyJcNI32E7xQl59rh_o_dAAsCTcRYxqbQ2sOY5dHqXBWdQg2QKcBUdDB_WO__B5-obV2RRgWwYAU2AkoBa58W2grl7PXmURaBGVkkVYYkB3Xaw3eF2Fn9NZTZ6Zi06Dd1HxwnQ5FRlb678u-UP7FAabW0a5NfbxUIZ-KlCzXHwnpPiWa7hiu0MgnckWdeTzI-UNkP2ctFGJKbQfXn4gJ0DdNIoKLRw6bf-yOUeP_F9ay-Pw1oRZw5PP-LwEtVipYS6umY-T7tr4nitBJsUBuQ8sPV_N4eFYmEPfitSZIQaFj5bRFjXp5DfR8z9hAQhmUrFwfvnthpzhFgRK-9LjJwsHd73-5CbpdMCnqRCMRkitAOJuMHKsmdUO-W9RhOyqqKqft9SReOecaeWaT9ZA/https://www.amazon.in/Multiplication-Interactive-Activity-Colorful-Education/dp/B0G26V17NK/ref=sxbs_sbv_search_btf
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",14999.0,4.2,5260,3.0,realme,https://www.amazon.in/realme-Storage-Chipset-Comfort-Display/dp/B0D3GYZ82S/ref=sr_1_51
"Motorola G45 5G (Brilliant Blue, 8GB RAM, 128GB Storage)",12999.0,4.1,2065,13.0,Motorola,https://www.amazon.in/Motorola-Brilliant-Blue-128GB-Storage/dp/B0DDY9HMJG/ref=sr_1_41
"Panasonic EVOLTA YUVA Alkaline AAA Battery, Pack of 10 - Everyday Devices, Clock, Toy, Remote",199.0,3.7,8,20.0,Panasonic,https://aax-eu-zaz.amazon.in/x/c/JGW-IYf6WCo7zWHWV87w8m8AAAGcajtWogoAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICA1CPNI/clv1c_ek-wBPHXUsbWHn2mJtYb8xPAyU13fwsZAfyb_e_B2toiCDE2LKJw1vMr5V3YBPF-vsOel-OlDN-KbfkDTgmJQNAthCVK8ML9ae7unLkhVos-6J07mnkGzVjrwLU0ZvY_lFoJuTLp72_UtoTAKRc6RIiTAN-agvVqkQV0wymk_G5fmukQfTkFQAn6kSx1VY0JGmQqbvVHDDvUPZQUZ8hFF8Ixs963gujV5ZANW8j5Y_OSeuEOPPHBvPEEO5aYBlP1mMZbsjOF-P_cFYuGBNoLkDI5QQBVMRcVkKJNYo1_ON67tt-dxdd1k_K7wtM3Zk0-s1N0IYwVuQr0gJZfv10A-mBxcF2D5XVebiFRVSmOc7wBHu75V2COEZAV-DZsqt-nnTbMEv9dpeRJg5_ST67jAAhq-9Cl5c5zpx9ZOlhvhOKPuxRxR2k6ArfgwpPG0niwQmovVn489EKLA7JirZk3LeVbQx7cH5ywGedxnF1915T3orht3Ebd_2gscajWo7-GUpcg9ISgy2fBFDlYq7An3DCjc_oVgeAhDFCuYIzO8bvmo4d-8Y2WfjZOvxq6cpzqE2Q8N56UpdAXUFz7--cgeMwRXmBCvg8hixGNg69Fh_HRTX-SpSsTCLpKlQ5Cd2sbx7hPMitQQyE767SQwamHZik_8k8QWJMaUvyK3CU1f9rDig3pC3y4NEYbjiqK4ETHzae82JgRMeM-N1DLxnj5jx_bMdYatO1X-bW6XLnncf1MtFHaXf0IZ9IgSJx2WpBaYJz-WueSSxqscQlO5cXcEEUMWOhD-IbYtCFee1OPXhvofWp3KZ4Sdlk-eloEFSKdGmKG9wKcCgQMSlXImj4n1UXL6n6lh1E_gc3RDVcH8tx8ME6NQjHQqs7CA-IZGyXJI6ZXBZnMIa_k3tlIOqq-7j-ubVna5EABPHzr6C_xWd2qf7JolHrxLeSR1ItvB1vJK8O8gvE9p1_djizMY_7lZU-qGg_aXhERtQYKPz5i8mBJofPZZRYu2nS8MSnbVur7fnNcBBd6z188Vv-2wFGShwSYxWW5LvCLDE_DOkkXF09tFnjZsUMeNjJ_URiC8U7SvhUWjcJm6r20AxOt7kDXBUAl8EYnKxH3fu2oPFpQ15Snk_D4Xmjbbinjeg8UZg3q-z7Mz5KvHp1zFEl_zETv2q_bxIeeijQCwfHqpOsKo0X1u58LLH5GiwHRDe8NZIv03C7hiaTKN4iNP_PDFuONqxhmB4EPyr0LEDF9YDzCDqsvOon32Olfp8eJaqRkTpkFFrf5tLCB_3-wl_VjL53D_XM4goxo2CQUIGrrzSbSvjVnvnPhDyJfrfWBBznWvVBtO65Le6GSUBtfmxNT05WMNHoXVMIRcE4cP2cH8NqcHYblnkKGOduVq6uqIQkY0286T1y7Vr-R8TeJHH3t79HewKjY3MH6T5f2vPJj5F9aLm5fQQBmXb4IYfJn6V55Fm7RvLP8yKH7mreSyLUtHakmGifNfIOO6xm1_NN6FywBm2c2Autc-Td2pAQ_kmNTouWlgNzcuKbyszWUmUM-O3zkh9U0cQPnGm9Oj-PF-zqNbiOyek3NsCogAmEx9imjKOaf6dh6ui0Pr4vT87nbasw1fNqidV41kdahWRlaaMhJ07iBvMd8oKYi12DH0F8sc8ulURBk6WC-7jlRsCIjQPVb/https://www.amazon.in/Panasonic-EVOLTA-YUVA-Alkaline-Battery/dp/B0G4VN92WB/ref=sxbs_sbv_search_btf
"vivo Y19s 5G (Majestic Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",12499.0,4.2,29,17.0,vivo,https://www.amazon.in/vivo-Y19s-Majestic-Additional-Exchange/dp/B0FWKQ21NC/ref=sr_1_36
"vivo Y19e (Titanium Silver, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers |with Charger",9999.0,4.3,575,17.0,vivo,https://www.amazon.in/Titanium-Storage-Additional-Exchange-Charger/dp/B07WHRDNFF/ref=sr_1_18
